Reviewer item,Concern,Implementation status,Affected code section,Required manuscript section,Verification evidence
1,Exact sample-level alignment,Unavailable in supplied data; pseudo-fusion isolated as sensitivity analysis,normalize_sample_identifier; build_fused_by_id,Dataset construction and integrity validation,fused_alignment_audit.csv when exact IDs exist; otherwise fusion_identifier_limitation.json
2,Feature extraction and eight-feature justification,Partially implemented; scientific rationale remains manuscript evidence,load_reduced_dataset_with_id; fit_fold_preprocessor; select_features_by_stream_training_only; save_fused_feature_manifest,"Feature extraction, preprocessing, and feature-selection rationale",fused_source_preprocessing_audit.json; fused_feature_manifest.csv; fused_training_fold_feature_selection.csv
3,Novelty and related work,Manuscript action required; code does not invent literature claims,save_reviewer_response_matrix,Related work and contribution statement,related_work_comparison_template.csv
4,Forensic contribution,Manuscript interpretation required,explainability and ablation outputs,"Forensic workflow, use cases, trust conditions, and limitations",fused_forensic_interpretation_requirements.json
5,Explainability and ablation,Explainability implemented for sensitivity data; exact-cohort ablation unavailable,run_explainability_study; run_fused_modality_ablation,Explainability and evidence-ablation results,explainability/; fused_aligned_modality_ablation_summary.csv; fused_representative_correct_incorrect_explanations.csv
6,Imbalance and limited scale,Implemented analytically; generalization discussion remains manuscript work,save_fused_class_balance; run_fused_imbalance_comparison,"Class distribution, imbalance treatment, and external-validity limitations",fused_class_balance.csv; fused_imbalance_strategy_comparison.csv; fused_imbalance_strategy_per_family.csv
7,Family-conditional fusion effects,Not executed because a genuine exact-ID-aligned cohort is unavailable,run_fused_modality_ablation,Family-conditional results and evidence-based guidance,fused_family_conditional_effects.csv
8,Temporal robustness,Conditional on a verified timestamp,run_fused_temporal_evaluation,"Temporal drift, monitoring, and retraining",fused_temporal_evaluation_status.json and optional temporal metrics
9,Sandbox environment bias,Conditional on externally supplied execution metadata,save_fused_reproducibility_report,Collection environment and threats to validity,fused_reproducibility_and_limitations.json
10,Soft-voting justification,Implemented with leakage-safe inner-CV weights and descriptive alpha sensitivity,derive_training_only_ensemble_weights; run_fused_ensemble_diagnostics,Ensemble design and sensitivity analysis,fused_ensemble_alpha_sensitivity.csv; fused_model_error_correlation.csv; fused_model_diversity.csv
11,Reproducibility,Implemented for available code/data metadata,save_fused_reproducibility_report,Reproducibility statement,fused_reproducibility_and_limitations.json; validation_protocol.json
