Fused feature,Evidence stream,Source feature,Raw dtype,Feature type,Missing before fold preprocessing,Unique values,Zero proportion,Fold-fitted transformation,Selection provenance,Scientific rationale
disk__parent_size,disk,parent_size,int64,numeric,0,313,0.0,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
disk__parent_is_dotnet,disk,parent_is_dotnet,int64,numeric,0,2,0.7806513409961686,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
disk__parent_is_i386,disk,parent_is_i386,int64,numeric,0,2,0.6743295019157088,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
disk__parent_sections,disk,parent_sections,int64,numeric,0,13,0.19540229885057472,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
disk__size_delta,disk,size_delta,int64,numeric,0,634,0.18773946360153257,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
disk__path_len,disk,path_len,int64,numeric,0,118,0.2672413793103448,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
disk__parent_is_gui,disk,parent_is_gui,int64,numeric,0,2,0.05651340996168582,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
memory__total_processes,memory,total_processes,int64,numeric,0,35,0.4952107279693487,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
memory__n_registry_hklm,memory,n_registry_hklm,int64,numeric,0,285,0.09291187739463602,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
memory__path_len,memory,path_len,int64,numeric,0,64,0.0,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
memory__modules_count,memory,modules_count,int64,numeric,0,218,0.06704980842911877,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
memory__path_entropy,memory,path_entropy,float64,numeric,0,608,0.0,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
memory__n_created_dll,memory,n_created_dll,int64,numeric,0,174,0.38122605363984674,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
memory__n_created_tmp,memory,n_created_tmp,int64,numeric,0,192,0.17624521072796934,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
network__avg_domain_len,network,avg_domain_len,float64,numeric,0,126,0.32567049808429116,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
network__mean_domain_entropy,network,mean_domain_entropy,float64,numeric,0,308,0.32662835249042144,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
network__n_public_service_domains,network,n_public_service_domains,int64,numeric,0,6,0.8793103448275862,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
network__n_unique_tlds,network,n_unique_tlds,int64,numeric,0,10,0.32662835249042144,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
network__n_public_ips,network,n_public_ips,int64,numeric,0,102,0.05363984674329502,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
network__n_unique_ips,network,n_unique_ips,int64,numeric,0,103,0.05268199233716475,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
network__domains_per_conn,network,domains_per_conn,float64,numeric,0,141,0.3783524904214559,training-median imputation,At most eight features per stream selected by mutual information fitted on each training fold; all supplied features retained when the stream contains eight or fewer,NOT SUPPLIED - must be justified from the study protocol/literature
